,GalaxyID,Label
0,100053,1
1,100122,1
2,100143,3
3,100288,1
4,100295,1
5,100322,3
6,100380,4
7,100428,0
8,100434,0
9,100444,1
10,100571,0
11,100672,0
12,100673,4
13,100727,0
14,100740,2
15,100744,0
16,100765,4
17,100801,4
18,100813,4
19,100821,4
20,100852,0
21,100859,4
22,100867,0
23,100951,4
24,101007,4
25,101061,1
26,101074,4
27,101092,1
28,101135,2
29,101140,4
30,101164,1
31,101181,3
32,101232,3
33,101246,0
34,101247,0
35,101251,0
36,101275,4
37,101290,1
38,101296,0
39,101298,4
40,101307,4
41,101315,4
42,101325,0
43,101355,3
44,101374,3
45,101502,0
46,101518,0
47,101538,1
48,101548,0
49,101563,3
50,101572,1
51,101595,3
52,101623,1
53,101627,0
54,101651,1
55,101660,3
56,101695,1
57,101754,0
58,101756,4
59,101816,1
60,101848,3
61,101854,0
62,101875,1
63,101893,3
64,101943,0
65,101971,0
66,101980,3
67,101991,4
68,101997,3
69,102000,0
70,102021,3
71,102040,4
72,102174,1
73,102182,0
74,102243,4
75,102260,0
76,102371,0
77,102402,4
78,102407,4
79,102422,4
80,102433,4
81,102471,0
82,102474,4
83,102481,0
84,102513,0
85,102602,1
86,102642,0
87,102735,4
88,102743,0
89,102765,4
90,102770,0
91,102839,1
92,102928,0
93,102933,1
94,102964,3
95,102977,0
96,102982,3
97,103040,3
98,103072,1
99,103075,4
100,103132,3
101,103191,0
102,103255,3
103,103260,0
104,103323,1
105,103348,1
106,103353,1
107,103354,0
108,103356,4
109,103500,0
110,103533,4
111,103547,4
112,103610,0
113,103646,0
114,103707,0
115,103718,1
116,103758,1
117,103787,3
118,103818,4
119,103819,0
120,103900,0
121,103902,0
122,103904,0
123,103950,4
124,104001,4
125,104008,3
126,104020,4
127,104040,4
128,104096,1
129,104110,1
130,104143,1
131,104159,1
132,104173,1
133,104196,1
134,104234,4
135,104243,1
136,104387,1
137,104389,4
138,104398,3
139,104414,0
140,104420,4
141,104422,0
142,104440,1
143,104478,4
144,104516,1
145,104536,4
146,104611,1
147,104612,1
148,104703,0
149,104723,3
150,104764,1
151,104934,4
152,104962,3
153,104977,0
154,104988,1
155,105009,4
156,105020,0
157,105069,4
158,105088,1
159,105092,0
160,105165,1
161,105218,4
162,105258,1
163,105314,4
164,105354,1
165,105381,3
166,105447,0
167,105497,4
168,105507,0
169,105513,3
170,105572,4
171,105631,4
172,105648,1
173,105743,3
174,105755,0
175,105757,0
176,105764,3
177,105772,0
178,105774,4
179,105797,1
180,105868,0
181,105870,1
182,105925,4
183,105940,3
184,105991,1
185,106000,0
186,106018,2
187,106040,0
188,106044,0
189,106105,1
190,106124,1
191,106170,1
192,106176,3
193,106199,3
194,106230,1
195,106298,3
196,106355,4
197,106390,4
198,106432,3
199,106463,0
200,106544,0
201,106621,4
202,106652,1
203,106689,1
204,106694,1
205,106773,0
206,106777,4
207,106781,0
208,106784,4
209,106788,3
210,106800,0
211,106841,1
212,106919,1
213,106923,1
214,106973,1
215,106986,3
216,107012,4
217,107055,1
218,107084,4
219,107117,3
220,107143,1
221,107159,4
222,107197,3
223,107202,4
224,107229,4
225,107231,3
226,107261,1
227,107272,0
228,107298,0
229,107314,3
230,107379,4
231,107388,2
232,107394,1
233,107403,1
234,107435,0
235,107454,3
236,107461,0
237,107480,0
238,107517,4
239,107521,1
240,107524,4
241,107539,0
242,107555,4
243,107573,0
244,107583,3
245,107597,3
246,107606,4
247,107610,0
248,107613,3
249,107619,0
250,107688,0
251,107692,0
252,107709,4
253,107720,3
254,107745,4
255,107747,4
256,107810,3
257,107828,0
258,107849,0
259,107888,0
260,107946,3
261,107961,1
262,107967,0
263,107975,0
264,108012,4
265,108066,0
266,108146,0
267,108160,1
268,108182,0
269,108195,0
270,108251,4
271,108272,4
272,108305,1
273,108326,3
274,108481,0
275,108551,1
276,108574,4
277,108580,1
278,108584,1
279,108608,4
280,108624,1
281,108645,1
282,108661,1
283,108672,1
284,108692,1
285,108715,1
286,108717,0
287,108742,4
288,108757,1
289,108772,4
290,108920,1
291,108928,1
292,108929,4
293,108959,2
294,108961,4
295,108979,3
296,108988,1
297,108991,1
298,109011,4
299,109033,1
300,109098,0
301,109127,1
302,109132,4
303,109155,1
304,109215,1
305,109266,4
306,109282,0
307,109330,1
308,109333,3
309,109366,4
310,109402,1
311,109404,1
312,109449,3
313,109509,1
314,109568,4
315,109623,1
316,109718,3
317,109744,4
318,109750,1
319,109868,4
320,109946,4
321,109977,0
322,110076,0
323,110129,1
324,110139,0
325,110195,0
326,110285,4
327,110306,1
328,110313,0
329,110339,4
330,110384,4
331,110404,4
332,110411,2
333,110429,3
334,110466,3
335,110480,1
336,110521,3
337,110538,1
338,110633,4
339,110636,1
340,110713,4
341,110808,3
342,110821,0
343,110844,4
344,110858,0
345,110887,4
346,110966,4
347,111038,1
348,111125,3
349,111141,4
350,111142,0
351,111207,0
352,111223,1
353,111240,0
354,111245,1
355,111259,1
356,111274,0
357,111298,0
358,111383,1
359,111399,0
360,111411,0
361,111428,0
362,111484,3
363,111491,3
364,111499,2
365,111514,4
366,111597,0
367,111658,4
368,111681,1
369,111725,1
370,111753,0
371,111792,4
372,111793,1
373,111799,4
374,111834,3
375,111839,0
376,111882,4
377,112034,3
378,112072,4
379,112119,1
380,112125,4
381,112135,0
382,112167,1
383,112177,4
384,112196,4
385,112229,1
386,112263,3
387,112311,0
388,112359,0
389,112438,3
390,112444,4
391,112479,4
392,112512,0
393,112574,1
394,112592,1
395,112623,4
396,112628,0
397,112769,4
398,112819,2
399,112826,1
400,112846,0
401,112918,1
402,112964,0
403,113118,0
404,113142,1
405,113149,1
406,113279,0
407,113284,4
408,113289,4
409,113305,1
410,113373,1
411,113394,0
412,113418,0
413,113420,0
414,113436,3
415,113444,0
416,113470,3
417,113483,1
418,113516,1
419,113518,1
420,113566,1
421,113655,4
422,113746,0
423,113761,1
424,113828,1
425,113845,1
426,113857,0
427,113858,3
428,113903,1
429,113944,3
430,113965,0
431,113971,4
432,113992,0
433,114046,1
434,114080,4
435,114173,1
436,114190,0
437,114191,1
438,114236,3
439,114256,4
440,114294,1
441,114319,1
442,114435,3
443,114457,0
444,114502,4
445,114517,4
446,114550,4
447,114587,4
448,114588,1
449,114642,3
450,114650,1
451,114682,0
452,114688,4
453,114695,1
454,114696,0
455,114741,4
456,114772,4
457,114815,4
458,114893,1
459,114957,4
460,114965,4
461,114966,4
462,114993,0
